path,selected_client,selected_server,dsym_852_client,dsym_852_server,dsym_841_client,dsym_841_server
game/server/portal2/rocketprojectile.cpp,0,1,0,1,0,1
game/server/portal2/trigger_catapult.cpp,0,1,0,0,0,0
game/server/portal2/trigger_paint_cleanser.cpp,0,1,0,1,0,1
game/server/portal2/trigger_ping_detector.cpp,0,1,0,1,0,1
game/server/portal2/trigger_playerteam.cpp,0,1,0,1,0,1
game/server/portal2/trigger_tractorbeam.cpp,0,1,0,1,0,1
game/server/portal2/weapon_paintgun.cpp,0,1,0,1,0,1
game/shared/portal2/damage_database.cpp,1,1,1,1,1,1
game/shared/portal2/hitbox_damaged_entity_shared.cpp,1,1,1,1,1,1
game/shared/portal2/material_index_data_ops_proxy.cpp,1,1,0,0,0,0
game/shared/portal2/paint_saverestore.cpp,1,1,1,1,1,1
game/shared/portal2/portal2_leaderboard_bucketizer.cpp,1,0,0,0,0,0
game/shared/portal2/portal_pointpush_shared.cpp,1,1,1,1,1,1
game/shared/portal2/trigger_catapult_shared.cpp,1,1,0,0,0,0
game/shared/portal2/weapon_item_base_shared.cpp,1,1,0,0,0,0
game/shared/portal2/weapon_promo_items_shared.cpp,1,1,0,0,0,0
